"100","0x0b07f64abc342b68aec57c0936e4b6fd4452967e","","39,181,418.362011","0.0516%","$39,170,016.57"
"101","0xb9db370bb873403a62aa461c1d0ab01b6a995479","","38,657,933.258622","0.0509%","$38,646,683.80
"102","0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e","","38,649,045.349405","0.0509%","$38,637,798.48"
"103","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","38,362,942.931168","0.0506%","$38,351,779.31"
"104","0xcc65f1a9b19e29031457e11797e3f01758c06a89","","38,185,948.982894","0.0503%","$38,174,836.87"
"105","0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec","Bitfinex: Hot Wallet","37,821,099.78631","0.0498%","$37,810,093.85"
"106","0x711948e4d826a37aa564c41c7b50de7e45c9ee44","","37,000,201.113009","0.0488%","$36,989,434.05"
"107","0x0d0707963952f2fba59dd06f2b425ace40b492fe","Gate.io 1","36,432,036.626476","0.0480%","$36,421,434.90"
"108","0x891abe3f416807b30e026f3ee2eb960f784298c4","","35,960,064.329861","0.0474%","$35,949,599.95"
"109","0xf207b2f9f9417fc73cad069f7aa5ae1c6a5b428d","","35,215,814.401052","0.0464%","$35,205,566.60"
"110","0x3684262d576ed6101d2809a0d0abbd2132ec2d9d","","34,373,940.092142","0.0453%","$34,363,937.28"
"111","0x37e4d1cd3fe31edf473ebcf3b6a75f419c8839d1","","34,000,005","0.0448%","$33,990,111.00"
"112","0x743ffdcad62bd89bd9196d75fe9464a9930bdf8d","","33,640,636.350651","0.0443%","$33,630,846.93"
"113","0x44760f321b090034f05ce8f00be1a014598e5890","","33,181,268.890586","0.0437%","$33,171,613.14"
"114","0x4bd5d115208e0b88906f8af12f6314bb62c2becf","","32,716,260.711595","0.0431%","$32,706,740.28"
"115","0x4d216d2682f3997f6c19420beee4530d08d0ea5f","","32,237,061.922654","0.0425%","$32,227,680.94"
"116","0x0edd5b0de0fe748be331186bf0aa878f47f601db","","31,657,801.427925","0.0417%","$31,648,589.01"
"117","0x554adc35ccd8090566bfca842537fd39b82489c1","","31,271,489.478879","0.0412%","$31,262,389.48"
"118","0x7c490d17af51292b513c338ebe1323b7e3ba56fa","","30,999,975","0.0408%","$30,990,954.01"
"119","0x56eddb7aa87536c09ccc2793473599fd21a8b17f","Binance 17","30,646,824.34006","0.0404%","$30,637,906.11"
"120","0xf4a3b00e806c9525b079c67a457897535e258651","","30,552,627.35759","0.0403%","$30,543,736.54"
"121","0x72a8abefc5995d4fe5153a2ae1fd23e015d74cf2","","30,530,130.19","0.0402%","$30,521,245.92"
"122","0xb615789eb58c821bdeb7493f57dda46ec9cc7319","","30,064,225.0137","0.0396%","$30,055,476.32"
"123","0x74726e1fae2a1dc7638e96ce8bc931e5cd5e8803","","30,013,191.180183","0.0395%","$30,004,457.34"
"124","0xe3490297a08d6fc8da46edb7b6142e4f461b62d3","Ethena: Mint and Redeem V2","30,008,925.145911","0.0395%","$30,000,192.55"
"125","0xf88f8ec6b98cad9ce25c9c8fe1387b351f382b09","","30,000,040.045829","0.0395%","$29,991,310.03"
"126","0x564e11ace70bfe6c943a973f1289faa6e8a0fe16","","30,000,000.35","0.0395%","$29,991,270.35"
"127","0x3d79007ba1a68de986eb641a3c24d58a0c69587e","","30,000,000","0.0395%","$29,991,270.00"
"128","0x74e7fd0b532f88cf8cc50922f7a8f51e3f320fa7","","30,000,000","0.0395%","$29,991,270.00"
"129","0x79fe313c6f5a652250d158d88be090d572c1cd2e","","30,000,000","0.0395%","$29,991,270.00"
"130","0xc7c8f8284c5360d0086a2f0a05bdd07afde23246","","29,413,680.82","0.0388%","$29,405,121.44"
"131","0xb203e1170a30e68dc5b20aac08aa42619842c79e","","29,359,658.893462","0.0387%","$29,351,115.23"
"132","0x15abb66ba754f05cbc0165a64a11cded1543de48","Galaxy Digital: 0x15a...E48","28,655,918.513836","0.0378%","$28,647,579.64"
"133","0x0acce82298b785bc65b9a4f94f954af8b318374c","","28,619,797.7166","0.0377%","$28,611,469.36"
"134","0x3a3c006053a9b40286b9951a11be4c5808c11dc8","","28,441,856.620897","0.0375%","$28,433,580.04"
"135","0xdd77916e440e598d12a54a4397e629038c92a2f4","","28,195,122.7","0.0372%","$28,186,917.92"
"136","0x67b960c4971ddb430273654710e6d1aa1708407f","","28,194,197.909335","0.0372%","$28,185,993.40"
"137","0x7ca756d03e7fec19bc1de28a94d127b404342dc3","","27,831,222.673637","0.0367%","$27,823,123.79"
"138","0x4dfc04aa1bfc60727feecccfd7247201abcd735a","","27,766,171.91","0.0366%","$27,758,091.95"
